x,y,z,qx,qy,qz,qw,speed
89626.1,43172.8,0,0,0,0.926375,0.376601,9.61111
89623.9,43175,0,0,0,0.914781,0.40395,9.61111
89621.9,43177.3,0,0,0,0.848589,0.529052,9.61111
89620.6,43179.8,0,0,0,0.718884,0.69513,8.33333
89620.5,43182.8,0,0,0,0.570954,0.820982,8.33333
89621.5,43185.5,0,0,0,0.328599,0.94447,8.33333
89623.9,43187.4,0,0,0,0.129383,0.991595,9.61111
89627.2,43187.5,0,0,0,-0.158335,0.987385,9.61111
89629.6,43186.7,0,0,0,-0.121997,0.99253,9.61111
89632.1,43185.5,0,0,0,-0.194721,0.980859,9.61111
89634.7,43184.4,0,0,0,-0.177943,0.984041,9.61111
89637.5,43183.3,0,0,0,-0.129344,0.9916,9.61111
89640.5,43182.6,0,0,0,-0.06947,0.997584,9.61111
89643.4,43182.5,0,0,0,0.0556465,0.998451,9.61111
89646.3,43183.1,0,0,0,0.0661478,0.99781,9.61111
89649.1,43184.5,0,0,0,0.171761,0.985139,9.61111
89651.7,43186.2,0,0,0,0.0981475,0.995172,9.61111
89654.6,43187.2,-2.48626e-05,0,0,0.170419,0.985372,8.33333
89658,43187.7,0,0,0,-0.104517,0.994523,8.33333
89660.5,43186.4,-6.10352e-05,0,0,-0.452657,0.891685,8.33333
89661.9,43184.5,-3.05176e-05,0,0,-0.581893,0.813265,8.33333
89662.5,43181.3,-6.10317e-05,0,0,-0.603762,0.797164,9.61111
89662.3,43179.2,-3.05036e-05,0,0,-0.769578,0.638553,9.61111
89661.6,43177,-2.97537e-05,0,0,-0.901827,0.432098,9.61111
89660.2,43175.5,-2.63951e-05,0,0,-0.970654,0.24048,9.61111
89658.3,43174.5,-3.00164e-05,0,0,-0.980096,0.198526,9.61111
89656,43173.4,0,0,0,-0.997795,0.0663774,9.61111
89653.9,43173.1,0,0,0,0.999953,0.00971228,9.61111
89651.6,43172.8,0,0,0,-0.994653,0.103273,9.61111
89649.3,43172.2,0,0,0,-0.968624,0.248532,9.61111
89647.4,43171.2,0,0,0,-0.815745,0.578412,8.33333
89646.6,43168.8,0,0,0,-0.829523,0.558472,8.33333
89646.7,43166.2,0,0,0,-0.567792,0.823172,8.33333
89647.5,43164,0,0,0,-0.416606,0.909087,8.33333
